year,city,month,application
2022,Ishikawa,11,822
2022,Fukui,11,430
2022,Yamanashi,11,637
2022,Nagano,11,1523
2022,Gifu,11,1463
2022,Shizuoka,11,2915
2022,Aichi,11,8463
2022,Mie,11,1328
2022,Shiga,11,1509
2022,Kyoto,11,3403
2022,Osaka,11,12120
2022,Hyogo,11,6344
2022,Nara,11,1465
2022,Wakayama,11,548
2022,Tottori,11,242
2022,Shimane,11,276
2022,Okayama,11,1189
2022,Hiroshima,11,1981
2022,Yamaguchi,11,783
2022,Tokushima,11,373
2022,Kagawa,11,645
2022,Ehime,11,676
2022,Kochi,11,288
2022,Fukuoka,11,5959
2022,Saga,11,550
2022,Nagasaki,11,779
2022,Kumamoto,11,1272
2022,Oita,11,736
2022,Miyazaki,11,515
2022,Kagoshima,11,707
2022,Okinawa,11,1657
2022,Hokkaido,10,3332
2022,Aomori,10,346
2022,Iwate,10,394
2022,Miyagi,10,1266
2022,Akita,10,325
2022,Yamagata,10,320
2022,Fukushima,10,748
2022,Ibaraki,10,2048
2022,Tochigi,10,1332
2022,Gunma,10,1144
2022,Saitama,10,7884
2022,Chiba,10,7562
2022,Tokyo,10,31148
2022,Kanagawa,10,14389
2022,Niigata,10,867
2022,Toyama,10,531
2022,Ishikawa,10,633
2022,Fukui,10,431
2022,Yamanashi,10,623
2022,Nagano,10,1332
2022,Gifu,10,1346
2022,Shizuoka,10,2801
2022,Aichi,10,7921
2022,Mie,10,1134
2022,Shiga,10,1438
2022,Kyoto,10,3096
2022,Osaka,10,11312
2022,Hyogo,10,6728
2022,Nara,10,1360
2022,Wakayama,10,588
2022,Tottori,10,233
2022,Shimane,10,215
2022,Okayama,10,1146
2022,Hiroshima,10,1852
2022,Yamaguchi,10,837
2022,Tokushima,10,342
2022,Kagawa,10,517
2022,Ehime,10,599
2022,Kochi,10,282
2022,Fukuoka,10,5241
2022,Saga,10,545
2022,Nagasaki,10,673
2022,Kumamoto,10,1085
2022,Oita,10,562
2022,Miyazaki,10,444
2022,Kagoshima,10,690
2022,Okinawa,10,1424
2022,Hokkaido,9,2737
2022,Aomori,9,389
2022,Iwate,9,321
2022,Miyagi,9,1164
2022,Akita,9,246
2022,Yamagata,9,280
2022,Fukushima,9,594
2022,Ibaraki,9,1816
2022,Tochigi,9,1198
2022,Gunma,9,1087
2022,Saitama,9,6743
2022,Chiba,9,6733
2022,Tokyo,9,28926
2022,Kanagawa,9,13090
2022,Niigata,9,742
2022,Toyama,9,520
2022,Ishikawa,9,657
2022,Fukui,9,424
2022,Yamanashi,9,459
2022,Nagano,9,1219
2022,Gifu,9,1166
2022,Shizuoka,9,2452
2022,Aichi,9,7016
2022,Mie,9,1073
2022,Shiga,9,1139
2022,Kyoto,9,2682
2022,Osaka,9,9862
2022,Hyogo,9,5702
2022,Nara,9,1055
2022,Wakayama,9,469
2022,Tottori,9,196
2022,Shimane,9,230
2022,Okayama,9,964
2022,Hiroshima,9,1708
2022,Yamaguchi,9,578
2022,Tokushima,9,231
2022,Kagawa,9,414
2022,Ehime,9,574
2022,Kochi,9,283
2022,Fukuoka,9,4144
2022,Saga,9,376
2022,Nagasaki,9,556
2022,Kumamoto,9,887
2022,Oita,9,566
2022,Miyazaki,9,391
2022,Kagoshima,9,583
2022,Okinawa,9,1145
2022,Hokkaido,8,2699
2022,Aomori,8,335
2022,Iwate,8,457
2022,Miyagi,8,1233
2022,Akita,8,230
2022,Yamagata,8,397
2022,Fukushima,8,667
2022,Ibaraki,8,1938
2022,Tochigi,8,1192
2022,Gunma,8,1116
2022,Saitama,8,6801
2022,Chiba,8,7236
2022,Tokyo,8,30965
2022,Kanagawa,8,14804
2022,Niigata,8,888
2022,Toyama,8,519
2022,Ishikawa,8,604
2022,Fukui,8,466
2022,Yamanashi,8,548
2022,Nagano,8,1293
2022,Gifu,8,1190
2022,Shizuoka,8,2786
2022,Aichi,8,7764
2022,Mie,8,1114
2022,Shiga,8,1325
2022,Kyoto,8,2868
2022,Osaka,8,9844
2022,Hyogo,8,4960
2022,Nara,8,1141
2022,Wakayama,8,419
2022,Tottori,8,265
2022,Shimane,8,210
2022,Okayama,8,1021
2022,Hiroshima,8,1721
2022,Yamaguchi,8,559
2022,Tokushima,8,314
2022,Kagawa,8,449
2022,Ehime,8,531
2022,Kochi,8,237
2022,Fukuoka,8,4142
2022,Saga,8,356
2022,Nagasaki,8,581
2022,Kumamoto,8,801
2022,Oita,8,510
2022,Miyazaki,8,383
2022,Kagoshima,8,646
2022,Okinawa,8,1252
2022,Hokkaido,7,2268
2022,Aomori,7,287
2022,Iwate,7,309
2022,Miyagi,7,1031
2022,Akita,7,251
2022,Yamagata,7,301
2022,Fukushima,7,599
2022,Ibaraki,7,1835
2022,Tochigi,7,1075
2022,Gunma,7,970
2022,Saitama,7,6291
2022,Chiba,7,6537
2022,Tokyo,7,28443
2022,Kanagawa,7,12596
2022,Niigata,7,786
2022,Toyama,7,403
2022,Ishikawa,7,551
2022,Fukui,7,343
2022,Yamanashi,7,503
2022,Nagano,7,966
2022,Gifu,7,1019
2022,Shizuoka,7,2379
2022,Aichi,7,6343
2022,Mie,7,867
2022,Shiga,7,1018
2022,Kyoto,7,2460
2022,Osaka,7,8541
2022,Hyogo,7,5309
2022,Nara,7,985
2022,Wakayama,7,394
2022,Tottori,7,146
2022,Shimane,7,154
2022,Okayama,7,843
2022,Hiroshima,7,1517
2022,Yamaguchi,7,532
2022,Tokushima,7,266
2022,Kagawa,7,382
2022,Ehime,7,427
2022,Kochi,7,268
2022,Fukuoka,7,3444
2022,Saga,7,307
2022,Nagasaki,7,489
2022,Kumamoto,7,815
2022,Oita,7,448
2022,Miyazaki,7,329
2022,Kagoshima,7,514
2022,Okinawa,7,1008
2022,Hokkaido,6,2401
2022,Aomori,6,320
2022,Iwate,6,328
2022,Miyagi,6,1060
2022,Akita,6,252
2022,Yamagata,6,324
2022,Fukushima,6,665
2022,Ibaraki,6,2043
2022,Tochigi,6,1184
2022,Gunma,6,1068
2022,Saitama,6,7102
2022,Chiba,6,7470
2022,Tokyo,6,33527
2022,Kanagawa,6,14267
2022,Niigata,6,705
2022,Toyama,6,455
2022,Ishikawa,6,610
2022,Fukui,6,353
2022,Yamanashi,6,527
2022,Nagano,6,1138
2022,Gifu,6,1254
2022,Shizuoka,6,2550
2022,Aichi,6,7374
2022,Mie,6,1045
2022,Shiga,6,1182
2022,Kyoto,6,2785
2022,Osaka,6,9713
2022,Hyogo,6,5531
2022,Nara,6,1183
2022,Wakayama,6,387
2022,Tottori,6,204
2022,Shimane,6,203
2022,Okayama,6,915
2022,Hiroshima,6,1783
2022,Yamaguchi,6,605
2022,Tokushima,6,362
2022,Kagawa,6,395
2022,Ehime,6,552
2022,Kochi,6,293
2022,Fukuoka,6,3784
2022,Saga,6,375
2022,Nagasaki,6,592
2022,Kumamoto,6,815
2022,Oita,6,527
2022,Miyazaki,6,410
2022,Kagoshima,6,575
2022,Okinawa,6,1101
2022,Hokkaido,5,1961
2022,Aomori,5,243
2022,Iwate,5,261
2022,Miyagi,5,910
2022,Akita,5,181
2022,Yamagata,5,247
2022,Fukushima,5,568
2022,Ibaraki,5,1861
2022,Tochigi,5,964
2022,Gunma,5,830
2022,Saitama,5,5903
2022,Chiba,5,6122
2022,Tokyo,5,27605
2022,Kanagawa,5,12410
2022,Niigata,5,655
2022,Toyama,5,420
2022,Ishikawa,5,470
2022,Fukui,5,332
2022,Yamanashi,5,453
