year,month,category,application
2015,9,general_10_years,142787
2015,9,information_changing,7298
2015,9,diplomatic,182
2015,9,official,2337
2015,8,general_5_years,157743
2015,8,general_10_years,174564
2015,8,information_changing,9610
2015,8,diplomatic,216
2015,8,official,2415
2015,7,general_5_years,140361
2015,7,general_10_years,163001
2015,7,information_changing,8210
2015,7,diplomatic,297
2015,7,official,2074
2015,6,general_5_years,126050
2015,6,general_10_years,153049
2015,6,information_changing,7914
2015,6,diplomatic,304
2015,6,official,2298
2015,5,general_5_years,107846
2015,5,general_10_years,144596
2015,5,information_changing,7697
2015,5,diplomatic,242
2015,5,official,2097
2015,4,general_5_years,103125
2015,4,general_10_years,141415
2015,4,information_changing,7862
2015,4,diplomatic,356
2015,4,official,2330
2015,3,general_5_years,129113
2015,3,general_10_years,149332
2015,3,information_changing,7943
2015,3,diplomatic,305
2015,3,official,1993
2015,2,general_5_years,108308
2015,2,general_10_years,147736
2015,2,information_changing,6337
2015,2,diplomatic,220
2015,2,official,2316
2015,1,general_5_years,122734
2015,1,general_10_years,175773
2015,1,information_changing,7523
2015,1,diplomatic,219
2015,1,official,2138
2014,12,general_5_years,88612
2014,12,general_10_years,121952
2014,12,information_changing,6269
2014,12,diplomatic,99
2014,12,official,1758
2014,11,general_5_years,70950
2014,11,general_10_years,106118
2014,11,information_changing,5807
2014,11,diplomatic,99
2014,11,official,1891
2014,10,general_5_years,84687
2014,10,general_10_years,137004
2014,10,information_changing,7666
2014,10,diplomatic,183
2014,10,official,2275
2014,9,general_5_years,88406
2014,9,general_10_years,144256
2014,9,information_changing,8073
2014,9,diplomatic,158
2014,9,official,2246
2014,8,general_5_years,156450
2014,8,general_10_years,172094
2014,8,information_changing,9669
2014,8,diplomatic,210
2014,8,official,2570
2014,7,general_5_years,148585
2014,7,general_10_years,174755
2014,7,information_changing,9007
2014,7,diplomatic,345
2014,7,official,2006
2014,6,general_5_years,124053
2014,6,general_10_years,147379
2014,6,information_changing,8000
2014,6,diplomatic,351
2014,6,official,1670
2014,5,general_5_years,114498
2014,5,general_10_years,152984
2014,5,information_changing,8985
2014,5,diplomatic,200
2014,5,official,2457
2014,4,general_5_years,108954
2014,4,general_10_years,148270
2014,4,information_changing,10159
2014,4,diplomatic,375
2014,4,official,2612
2014,3,general_5_years,124978
2014,3,general_10_years,148613
2014,3,information_changing,4730
2014,3,diplomatic,167
2014,3,official,1494
2014,2,general_5_years,112176
2014,2,general_10_years,149809
2014,2,information_changing,0
2014,2,diplomatic,191
2014,2,official,1918
2014,1,general_5_years,126240
2014,1,general_10_years,180656
2014,1,information_changing,0
2014,1,diplomatic,161
2014,1,official,1966
