year,city,age_group,application
2022,Hiroshima,under_19,3380
2022,Gunma,20-29,2398
2022,Gunma,30-39,1331
2022,Gunma,40-49,1581
2022,Gunma,50-59,1511
2022,Gunma,60-69,1121
2022,Gunma,70-79,600
2022,Gunma,over_80,92
2022,Gunma,under_19,2236
2022,Gifu,20-29,2662
2022,Gifu,30-39,1515
2022,Gifu,40-49,1764
2022,Gifu,50-59,1762
2022,Gifu,60-69,1280
2022,Gifu,70-79,700
2022,Gifu,over_80,103
2022,Gifu,under_19,2526
2022,Fukushima,20-29,1202
2022,Fukushima,30-39,835
2022,Fukushima,40-49,932
2022,Fukushima,50-59,1030
2022,Fukushima,60-69,953
2022,Fukushima,70-79,505
2022,Fukushima,over_80,76
2022,Fukushima,under_19,1292
2022,Fukuoka,20-29,9578
2022,Fukuoka,30-39,5709
2022,Fukuoka,40-49,6132
2022,Fukuoka,50-59,5579
2022,Fukuoka,60-69,4348
2022,Fukuoka,70-79,2293
2022,Fukuoka,over_80,429
2022,Fukuoka,under_19,9025
2022,Fukui,20-29,893
2022,Fukui,30-39,476
2022,Fukui,40-49,602
2022,Fukui,50-59,550
2022,Fukui,60-69,434
2022,Fukui,70-79,216
2022,Fukui,over_80,44
2022,Fukui,under_19,815
2022,Ehime,20-29,1104
2022,Ehime,30-39,717
2022,Ehime,40-49,797
2022,Ehime,50-59,856
2022,Ehime,60-69,644
2022,Ehime,70-79,376
2022,Ehime,over_80,65
2022,Ehime,under_19,1005
2022,Chiba,20-29,15484
2022,Chiba,30-39,9657
2022,Chiba,40-49,10590
2022,Chiba,50-59,10341
2022,Chiba,60-69,6593
2022,Chiba,70-79,3989
2022,Chiba,over_80,809
2022,Chiba,under_19,15099
2022,Aomori,20-29,676
2022,Aomori,30-39,401
2022,Aomori,40-49,481
2022,Aomori,50-59,510
2022,Aomori,60-69,433
2022,Aomori,70-79,215
2022,Aomori,over_80,36
2022,Aomori,under_19,624
2022,Akita,20-29,637
2022,Akita,30-39,285
2022,Akita,40-49,290
2022,Akita,50-59,355
2022,Akita,60-69,326
2022,Akita,70-79,161
2022,Akita,over_80,33
2022,Akita,under_19,429
2022,Aichi,20-29,16396
2022,Aichi,30-39,10672
2022,Aichi,40-49,11113
2022,Aichi,50-59,10480
2022,Aichi,60-69,5881
2022,Aichi,70-79,2851
2022,Aichi,over_80,552
2022,Aichi,under_19,16377
2021,Yamanashi,20-29,364
2021,Yamanashi,30-39,237
2021,Yamanashi,40-49,272
2021,Yamanashi,50-59,276
2021,Yamanashi,60-69,264
2021,Yamanashi,70-79,126
2021,Yamanashi,over_80,22
2021,Yamanashi,under_19,342
2021,Yamaguchi,20-29,433
2021,Yamaguchi,30-39,321
2021,Yamaguchi,40-49,399
2021,Yamaguchi,50-59,394
2021,Yamaguchi,60-69,390
2021,Yamaguchi,70-79,265
2021,Yamaguchi,over_80,50
2021,Yamaguchi,under_19,456
2021,Yamagata,20-29,223
2021,Yamagata,30-39,186
2021,Yamagata,40-49,205
2021,Yamagata,50-59,226
2021,Yamagata,60-69,230
2021,Yamagata,70-79,100
2021,Yamagata,over_80,11
2021,Yamagata,under_19,236
2021,Wakayama,20-29,272
2021,Wakayama,30-39,214
2021,Wakayama,40-49,254
2021,Wakayama,50-59,289
2021,Wakayama,60-69,254
2021,Wakayama,70-79,143
2021,Wakayama,over_80,29
2021,Wakayama,under_19,237
2021,Toyama,20-29,373
2021,Toyama,30-39,315
2021,Toyama,40-49,328
2021,Toyama,50-59,312
2021,Toyama,60-69,267
2021,Toyama,70-79,126
2021,Toyama,over_80,20
2021,Toyama,under_19,401
2021,Tottori,20-29,143
2021,Tottori,30-39,125
2021,Tottori,40-49,153
2021,Tottori,50-59,139
2021,Tottori,60-69,146
2021,Tottori,70-79,81
2021,Tottori,over_80,12
2021,Tottori,under_19,136
2021,Tokyo,20-29,22784
2021,Tokyo,30-39,23478
2021,Tokyo,40-49,23732
2021,Tokyo,50-59,19487
2021,Tokyo,60-69,12359
2021,Tokyo,70-79,7549
2021,Tokyo,over_80,1493
2021,Tokyo,under_19,25075
2021,Tokushima,20-29,182
2021,Tokushima,30-39,161
2021,Tokushima,40-49,184
2021,Tokushima,50-59,197
2021,Tokushima,60-69,196
2021,Tokushima,70-79,116
2021,Tokushima,over_80,16
2021,Tokushima,under_19,194
2021,Tochigi,20-29,748
2021,Tochigi,30-39,690
2021,Tochigi,40-49,843
2021,Tochigi,50-59,758
2021,Tochigi,60-69,603
2021,Tochigi,70-79,300
2021,Tochigi,over_80,45
2021,Tochigi,under_19,962
2021,Shizuoka,20-29,1579
2021,Shizuoka,30-39,1598
2021,Shizuoka,40-49,1947
2021,Shizuoka,50-59,1956
2021,Shizuoka,60-69,1451
2021,Shizuoka,70-79,919
2021,Shizuoka,over_80,140
2021,Shizuoka,under_19,1912
2021,Shimane,20-29,137
2021,Shimane,30-39,114
