year,month,age_group,application
2016,1,20-29,88267
2016,1,30-39,45441
2016,1,40-49,40431
2016,1,50-59,35693
2016,1,60-69,33549
2016,1,70-79,14051
2016,1,over_80,2536
2015,12,under_19,48532
2015,12,20-29,61349
2015,12,30-39,36303
2015,12,40-49,31003
2015,12,50-59,26890
2015,12,60-69,23754
2015,12,70-79,10082
2015,12,over_80,1810
2015,11,under_19,40038
2015,11,20-29,50802
2015,11,30-39,35916
2015,11,40-49,31023
2015,11,50-59,25898
2015,11,60-69,23883
2015,11,70-79,9927
2015,11,over_80,1787
2015,10,under_19,39906
2015,10,20-29,54661
2015,10,30-39,44964
2015,10,40-49,36055
2015,10,50-59,30554
2015,10,60-69,28382
2015,10,70-79,12236
2015,10,over_80,2278
2015,9,under_19,36639
2015,9,20-29,51645
2015,9,30-39,44580
2015,9,40-49,32894
2015,9,50-59,28337
2015,9,60-69,26573
2015,9,70-79,11027
2015,9,over_80,2023
2015,8,under_19,102173
2015,8,20-29,73230
2015,8,30-39,54904
2015,8,40-49,40187
2015,8,50-59,34296
2015,8,60-69,25867
2015,8,70-79,9394
2015,8,over_80,1866
2015,7,under_19,91464
2015,7,20-29,61287
2015,7,30-39,50260
2015,7,40-49,40992
2015,7,50-59,31916
2015,7,60-69,24361
2015,7,70-79,9399
2015,7,over_80,1893
2015,6,under_19,79887
2015,6,20-29,52410
2015,6,30-39,48547
2015,6,40-49,40519
2015,6,50-59,29967
2015,6,60-69,24397
2015,6,70-79,9414
2015,6,over_80,1872
2015,5,under_19,61947
2015,5,20-29,47741
2015,5,30-39,48198
2015,5,40-49,38069
2015,5,50-59,29416
2015,5,60-69,23804
2015,5,70-79,9055
2015,5,over_80,1909
2015,4,under_19,55292
2015,4,20-29,46530
2015,4,30-39,48724
2015,4,40-49,35924
2015,4,50-59,29167
2015,4,60-69,25359
2015,4,70-79,9434
2015,4,over_80,1972
2015,3,under_19,79701
2015,3,20-29,53253
2015,3,30-39,48074
2015,3,40-49,36330
2015,3,50-59,29852
2015,3,60-69,26768
2015,3,70-79,10273
2015,3,over_80,2137
2015,2,under_19,54757
2015,2,20-29,69121
2015,2,30-39,41364
2015,2,40-49,33386
2015,2,50-59,27400
2015,2,60-69,24708
2015,2,70-79,9695
2015,2,over_80,1950
2015,1,under_19,59440
2015,1,20-29,92176
2015,1,30-39,48635
2015,1,40-49,35413
2015,1,50-59,30254
2015,1,60-69,27471
2015,1,70-79,10645
2015,1,over_80,1996
2014,12,under_19,45814
2014,12,20-29,59092
2014,12,30-39,37685
2014,12,40-49,27236
2014,12,50-59,21662
2014,12,60-69,17684
2014,12,70-79,6448
2014,12,over_80,1212
2014,11,under_19,35350
2014,11,20-29,44254
2014,11,30-39,35351
2014,11,40-49,25033
2014,11,50-59,19659
2014,11,60-69,16034
2014,11,70-79,6016
2014,11,over_80,1178
2014,10,under_19,37816
2014,10,20-29,53927
2014,10,30-39,46907
2014,10,40-49,32712
2014,10,50-59,26436
2014,10,60-69,21991
2014,10,70-79,8027
2014,10,over_80,1541
2014,9,under_19,37420
2014,9,20-29,57775
2014,9,30-39,50075
2014,9,40-49,33033
2014,9,50-59,27783
2014,9,60-69,24067
2014,9,70-79,8772
2014,9,over_80,1810
2014,8,under_19,99451
2014,8,20-29,77881
2014,8,30-39,57912
2014,8,40-49,38399
2014,8,50-59,32501
2014,8,60-69,23027
2014,8,70-79,7500
2014,8,over_80,1542
2014,7,under_19,93890
2014,7,20-29,71149
2014,7,30-39,56222
2014,7,40-49,42910
2014,7,50-59,33611
2014,7,60-69,24196
2014,7,70-79,8579
2014,7,over_80,1790
2014,6,under_19,77903
2014,6,20-29,54630
2014,6,30-39,48862
2014,6,40-49,38559
2014,6,50-59,28325
2014,6,60-69,21722
2014,6,70-79,7866
2014,6,over_80,1565
2014,5,under_19,64729
2014,5,20-29,53490
2014,5,30-39,54274
2014,5,40-49,39761
2014,5,50-59,30600
2014,5,60-69,23707
2014,5,70-79,8237
2014,5,over_80,1669
2014,4,under_19,57566
2014,4,20-29,51792
2014,4,30-39,53946
2014,4,40-49,37092
2014,4,50-59,29863
2014,4,60-69,26070
2014,4,70-79,9189
2014,4,over_80,1865
2014,3,under_19,74868
2014,3,20-29,51608
2014,3,30-39,46630
2014,3,40-49,35124
2014,3,50-59,29399
2014,3,60-69,28218
2014,3,70-79,10542
2014,3,over_80,1932
2014,2,under_19,57040
2014,2,20-29,68668
2014,2,30-39,40726
2014,2,40-49,32968
2014,2,50-59,26524
2014,2,60-69,24870
2014,2,70-79,9374
2014,2,over_80,1815
2014,1,under_19,59945
2014,1,20-29,92220
2014,1,30-39,48440
2014,1,40-49,35447
2014,1,50-59,30197
2014,1,60-69,28003
2014,1,70-79,10609
2014,1,over_80,2035
