Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,3.573192,3.642575,3.528210,3.574985,3.574985,0
2020-05-01,3.633359,3.670737,3.538500,3.583845,3.583845,0
2020-06-01,3.584667,3.711604,3.573024,3.637492,3.637492,0
2020-07-01,3.675191,3.680645,3.568334,3.608503,3.608503,0
2020-08-01,3.590403,3.657102,3.570608,3.598863,3.598863,0
2020-09-01,3.612131,3.658123,3.564017,3.652558,3.652558,0
2020-10-01,3.643365,3.707000,3.616213,3.663638,3.663638,0
2020-11-01,3.663638,3.708323,3.613835,3.663256,3.663256,0
2020-12-01,3.639629,3.715303,3.639220,3.676179,3.676179,0
2021-01-01,3.666351,3.748701,3.631150,3.741295,3.741295,0
2021-02-01,3.737512,3.833973,3.729094,3.808680,3.808680,0
2021-03-01,3.810976,3.889828,3.794829,3.862840,3.862840,0
2021-04-01,3.884294,3.923498,3.818851,3.910954,3.910954,0
2021-05-01,3.897917,3.988057,3.875010,3.969665,3.969665,0
2021-06-01,3.988147,3.994044,3.930398,3.958531,3.958531,0
2021-07-01,3.972456,3.997923,3.890709,3.914252,3.914252,0
2021-08-01,3.914252,3.979378,3.892590,3.960369,3.960369,0
2021-09-01,3.974392,4.028279,3.925829,4.005380,4.005380,0
2021-10-01,4.005950,4.118413,3.968922,4.063644,4.063644,0
2021-11-01,4.071302,4.155060,4.057613,4.099098,4.099098,0
2021-12-01,4.104029,4.178211,4.055047,4.156993,4.156993,0
2022-01-01,4.152408,4.230360,4.095356,4.145540,4.145540,0
2022-02-01,4.143257,4.176253,4.073135,4.125937,4.125937,0
2022-03-01,4.110813,4.337599,4.032783,4.275057,4.275057,0
2022-04-01,4.251471,4.439631,4.251471,4.408264,4.408264,0
2022-05-01,4.408264,4.441054,4.267564,4.431225,4.431225,0
2022-06-01,4.436820,4.609218,4.408713,4.595489,4.595489,0
2022-07-01,4.576014,4.659152,4.425213,4.437892,4.437892,0
2022-08-01,4.443527,4.577330,4.333305,4.554017,4.554017,0
2022-09-01,4.589899,4.701847,4.457328,4.563679,4.563679,0
2022-10-01,4.549818,4.771129,4.532818,4.596267,4.596267,0
2022-11-01,4.609092,4.647490,4.430610,4.481757,4.481757,0
2022-12-01,4.460714,4.514317,4.260530,4.275879,4.275879,0
2023-01-01,4.275879,4.383929,4.203617,4.333363,4.333363,0
2023-02-01,4.347188,4.470025,4.309273,4.452929,4.452929,0
2023-03-01,4.447357,4.675024,4.260259,4.369992,4.369992,0
2023-04-01,4.347872,4.484375,4.278663,4.484375,4.484375,0
2023-05-01,4.434578,4.599500,4.351304,4.571829,4.571829,0
2023-06-01,4.537263,4.661148,4.509784,4.650295,4.650295,0
2023-07-01,4.636339,4.656018,4.395072,4.485989,4.485989,0
2023-08-01,4.530932,4.759907,4.470168,4.595605,4.595605,0
2023-09-01,4.571034,4.659211,4.536825,4.635581,4.635581,0
2023-10-01,4.643057,4.668747,4.591577,4.622025,4.622025,0
2023-11-01,4.667674,4.766984,4.631780,4.731518,4.731518,0
2023-12-01,4.715090,4.737498,3.939858,4.590700,4.590700,0
